,H_Rank,Indeterminate_adj
RF,0.042180079,0.009504656
GBM,0.047664954,0.010583819
SVR,0.045329528,0.010614568
KNN,0.048970875,0.010980468
GLM,0.052564659,0.011445223
NN,0.046069523,0.010731262
