Grid_ID,Longitude,Latitude,Species_N_All,Species_N_Inf,So_Pi,Df_Pi,Co_Pi,Sk_Pi,Um_Pi,Ra_Pi,Cp_Pi,Pa_Pi,Ck_Pi
583,120.7976354,28.13436606,1265,1104,0.145833333,0.234601449,0.047101449,0.097826087,0.077898551,0.203804348,0.091485507,0.100543478,0.000905797
584,128.1434635,42.44077851,893,759,0.106719368,0.173913043,0.042160738,0.119894598,0.084321476,0.217391304,0.135704875,0.092226614,0.027667984
585,110.6483765,24.03698741,2387,2090,0.144497608,0.235885167,0.046411483,0.088516746,0.097129187,0.208133971,0.077033493,0.099521531,0.002870813
586,113.3313841,43.58036153,191,176,0.113636364,0.153409091,0.022727273,0.153409091,0.107954545,0.153409091,0.181818182,0.107954545,0.005681818
587,124.7389212,50.10519136,75,66,0.060606061,0.166666667,0.03030303,0.151515152,0.106060606,0.196969697,0.227272727,0.045454545,0.015151515
588,111.8681613,35.63112028,909,790,0.103797468,0.208860759,0.058227848,0.086075949,0.098734177,0.220253165,0.112658228,0.092405063,0.018987342
589,90.68046562,46.75708098,85,74,0.135135135,0.148648649,0.040540541,0.081081081,0.067567568,0.22972973,0.175675676,0.121621622,0
590,118.0495822,30.04420249,2244,1944,0.138888889,0.218621399,0.057613169,0.098251029,0.087962963,0.211934156,0.08436214,0.096707819,0.005658436
591,129.6029128,47.6934023,27,22,0.181818182,0.136363636,0,0.181818182,0.136363636,0.136363636,0.181818182,0,0.045454545
592,115.0652833,32.88187037,64,55,0.018181818,0.181818182,0.018181818,0.2,0.036363636,0.2,0.236363636,0.109090909,0
593,105.9742316,40.89525138,122,110,0.127272727,0.190909091,0.018181818,0.118181818,0.054545455,0.218181818,0.209090909,0.054545455,0.009090909
594,110.7039774,31.20904318,2510,2164,0.120147874,0.233826248,0.056377079,0.085489834,0.108595194,0.199168207,0.088724584,0.096580407,0.011090573
595,91.02793873,42.31279506,14,12,0.25,0,0,0.083333333,0.25,0.166666667,0.166666667,0.083333333,0
596,109.6358363,32.09928056,1920,1685,0.114540059,0.218397626,0.064688427,0.093768546,0.092581602,0.2,0.094362018,0.106231454,0.015430267
597,125.2567345,46.39278628,464,420,0.073809524,0.14047619,0.030952381,0.15,0.092857143,0.171428571,0.197619048,0.128571429,0.014285714
598,91.48385135,40.5701748,81,76,0.105263158,0.052631579,0.052631579,0.144736842,0.065789474,0.210526316,0.236842105,0.131578947,0
599,101.4783837,38.02021452,270,248,0.120967742,0.120967742,0.032258065,0.14516129,0.040322581,0.221774194,0.205645161,0.10483871,0.008064516
600,118.6167468,37.80227534,144,128,0.203125,0.2734375,0.046875,0.0390625,0.1015625,0.15625,0.0625,0.0859375,0.03125
601,74.83084137,38.98658056,451,397,0.128463476,0.103274559,0.042821159,0.125944584,0.050377834,0.234256927,0.181360202,0.115869018,0.017632242
602,97.02836564,36.75819831,99,87,0.091954023,0.08045977,0.045977011,0.218390805,0.08045977,0.172413793,0.206896552,0.068965517,0.034482759
603,115.3582432,37.30307652,271,229,0.069868996,0.183406114,0.065502183,0.144104803,0.104803493,0.174672489,0.109170306,0.131004367,0.017467249
604,90.31269452,35.88851612,10,8,0.125,0,0,0,0,0.375,0.125,0.375,0
605,88.09017016,43.69049938,1552,1359,0.116261957,0.144223694,0.060338484,0.12656365,0.066961001,0.189845475,0.181015453,0.094922737,0.01986755
606,101.5766667,37.13882783,1274,1131,0.120247569,0.156498674,0.046861185,0.111405836,0.073386384,0.192749779,0.16622458,0.107869142,0.024756852
607,125.2837968,41.03861816,731,621,0.101449275,0.185185185,0.051529791,0.086956522,0.096618357,0.207729469,0.152979066,0.090177134,0.027375201
608,97.99249223,24.99552382,190,157,0.127388535,0.286624204,0.044585987,0.152866242,0.057324841,0.197452229,0.031847134,0.101910828,0
609,98.86882101,27.07946551,2196,1888,0.13559322,0.214512712,0.05720339,0.085275424,0.109639831,0.212394068,0.106461864,0.070974576,0.007944915
610,115.2969738,36.41972153,136,124,0.088709677,0.161290323,0.032258065,0.129032258,0.080645161,0.225806452,0.14516129,0.096774194,0.040322581
611,119.926582,51.22616675,104,87,0.103448276,0.16091954,0.034482759,0.137931034,0.114942529,0.183908046,0.195402299,0.045977011,0.022988506
612,108.4419946,38.2897205,271,248,0.092741935,0.197580645,0.024193548,0.157258065,0.052419355,0.173387097,0.177419355,0.108870968,0.016129032
613,109.6318471,32.98682418,766,672,0.105654762,0.230654762,0.063988095,0.098214286,0.09672619,0.21875,0.077380952,0.099702381,0.008928571
614,81.52116449,31.38564385,24,22,0.227272727,0.045454545,0.181818182,0,0.045454545,0.181818182,0.272727273,0.045454545,0
615,120.4353458,32.51982219,401,346,0.138728324,0.271676301,0.037572254,0.132947977,0.063583815,0.158959538,0.080924855,0.112716763,0.002890173
616,85.97191541,46.0947182,123,103,0.116504854,0.145631068,0.038834951,0.048543689,0.077669903,0.233009709,0.145631068,0.13592233,0.058252427
617,98.68093562,33.35099374,99,78,0.141025641,0.166666667,0.076923077,0.102564103,0.153846154,0.179487179,0.115384615,0.064102564,0
618,97.19351179,28.73496921,2109,1812,0.131898455,0.167218543,0.05187638,0.094370861,0.108719647,0.212472406,0.125275938,0.083333333,0.024834437
619,99.69925869,25.36109179,1709,1449,0.122153209,0.210489993,0.054520359,0.096618357,0.098688751,0.223602484,0.105590062,0.082815735,0.005521049
620,116.9035733,41.66749728,15,13,0.153846154,0.153846154,0.076923077,0.461538462,0,0.076923077,0,0.076923077,0
621,76.30749155,36.55008689,172,152,0.144736842,0.092105263,0.085526316,0.118421053,0.046052632,0.223684211,0.164473684,0.111842105,0.013157895
622,91.14696626,28.14750519,137,112,0.178571429,0.089285714,0.089285714,0.044642857,0.125,0.205357143,0.160714286,0.080357143,0.026785714
623,92.78804139,44.90768162,10,9,0,0.333333333,0.111111111,0.111111111,0.111111111,0,0.111111111,0.222222222,0
624,120.4331887,27.38912687,47,39,0.153846154,0.230769231,0.025641026,0.051282051,0.076923077,0.230769231,0.179487179,0.051282051,0
625,80.58707597,33.93570725,81,74,0.094594595,0.054054054,0.121621622,0.108108108,0.054054054,0.175675676,0.256756757,0.135135135,0
626,113.0613054,37.37807706,418,365,0.093150685,0.208219178,0.04109589,0.120547945,0.095890411,0.230136986,0.120547945,0.082191781,0.008219178
627,111.2063939,43.27858085,33,30,0.133333333,0.1,0,0.2,0.033333333,0.233333333,0.233333333,0.033333333,0.033333333
628,118.7010563,46.58124749,16,15,0.066666667,0.133333333,0,0.133333333,0.133333333,0.266666667,0.133333333,0.066666667,0.066666667
629,120.2031155,47.74584691,63,59,0.101694915,0.152542373,0.016949153,0.118644068,0.13559322,0.203389831,0.203389831,0.06779661,0
630,90.95780618,33.28191788,122,111,0.171171171,0.108108108,0.117117117,0.09009009,0.045045045,0.18018018,0.216216216,0.072072072,0
631,109.6236006,34.7591846,1156,1012,0.102766798,0.210474308,0.057312253,0.092885375,0.099802372,0.211462451,0.112648221,0.089920949,0.022727273
632,77.78965227,37.87956504,450,392,0.130102041,0.102040816,0.081632653,0.158163265,0.066326531,0.170918367,0.153061224,0.114795918,0.022959184
633,109.6397399,31.21058269,3005,2595,0.114065511,0.224662813,0.064354528,0.087861272,0.102504817,0.197302505,0.099807322,0.096339114,0.013102119
634,107.5639628,29.40394254,3743,3231,0.131847725,0.209223151,0.053543794,0.0909935,0.113587125,0.211080161,0.090374497,0.086041473,0.013308573
635,117.8830916,28.26412019,1198,1039,0.133782483,0.241578441,0.043310876,0.091434071,0.092396535,0.201154957,0.084696824,0.110683349,0.000962464
636,120.1815594,46.84437104,677,584,0.082191781,0.181506849,0.056506849,0.106164384,0.094178082,0.219178082,0.167808219,0.071917808,0.020547945
637,110.7791439,39.18158755,317,291,0.096219931,0.171821306,0.037800687,0.12371134,0.075601375,0.18556701,0.158075601,0.120274914,0.030927835
638,124.9454856,51.00969658,73,65,0.061538462,0.153846154,0.030769231,0.153846154,0.107692308,0.2,0.230769231,0.046153846,0.015384615
639,82.352689,45.10243579,187,157,0.121019108,0.121019108,0.057324841,0.095541401,0.082802548,0.229299363,0.178343949,0.089171975,0.025477707
640,113.8947427,31.14724541,209,182,0.126373626,0.247252747,0.049450549,0.076923077,0.10989011,0.181318681,0.126373626,0.082417582,0
641,118.4982119,34.46919521,267,236,0.13559322,0.211864407,0.046610169,0.127118644,0.063559322,0.228813559,0.06779661,0.105932203,0.012711864
642,90.9283243,28.74474372,525,463,0.13174946,0.101511879,0.058315335,0.13174946,0.090712743,0.194384449,0.17062635,0.110151188,0.010799136
643,87.81237694,44.56018778,612,528,0.107954545,0.15719697,0.077651515,0.121212121,0.081439394,0.206439394,0.160984848,0.070075758,0.017045455
644,123.3993116,39.80505738,55,49,0.183673469,0.163265306,0.102040816,0.081632653,0.06122449,0.265306122,0.06122449,0.040816327,0.040816327
645,90.33948358,47.44867374,145,125,0.12,0.16,0.048,0.096,0.12,0.208,0.168,0.072,0.008
