Species,FlowerID,Trait
Crepidiastrum humifusum,F04796,I
Crepidiastrum lanceolatum,F04797,I
Crepidiastrum sonchifolium,F04798,I
Crepidiastrum taiwanianum,F04799,I
Crepidiastrum tenuifolium,F04800,I
Crepis bodinieri,F04801,I
Crepis chrysantha,F04802,I
Crepis coreana,F04803,I
Crepis crocea,F04804,I
Crepis darvazica,F04805,I
Crepis elongata,F04806,I
Crepis lignea,F04807,I
Crepis lyrata,F04808,I
Crepis meifenggensis,F04809,I
Crepis multicaulis,F04810,I
Crepis napifera,F04811,I
Crepis oreades,F04812,I
Crepis phoenix,F04813,I
Crepis rigescens,F04814,I
Crepis shihii,F04815,I
Crepis sibirica,F04816,I
Crepis subscaposa,F04817,I
Crepis tectorum,F04818,I
Crepis tianshanica,F04819,I
Crinitina tatarica,F04820,I
Crinitina villosa,F04821,I
Crossostephium chinense,F04822,I
Crupina vulgaris,F04823,I
Cyanthillium cinereum,F04824,I
Cyanthillium maritimum,F04825,I
Cyanthillium patulum,F04826,I
Cyathocline purpurea,F04827,I
Cyclachaena xanthiifolia,F04828,I
Cynara cardunculus,F04829,I
Cynara scolymus,F04830,I
Decaneuropsis blanda,F04831,I
Decaneuropsis chingiana,F04832,I
Decaneuropsis cumingiana,F04833,I
Decaneuropsis gratiosa,F04834,I
Dicercoclados triplinervis,F04835,I
Dichrocephala benthamii,F04836,I
Dichrocephala chrysanthemifolia,F04837,I
Dichrocephala integrifolia,F04838,I
Distephanus forrestii,F04839,I
Distephanus henryi,F04840,I
Dolomiaea berardioidea,F04841,I
Dolomiaea calophylla,F04842,I
Dolomiaea crispoundulata,F04843,I
Dolomiaea edulis,F04844,I
Dolomiaea forrestii,F04845,I
Dolomiaea georgei,F04846,I
Dolomiaea lateritia,F04847,I
Dolomiaea platylepis,F04848,I
Dolomiaea salwinensis,F04849,I
Dolomiaea scabrida,F04850,I
Dolomiaea souliei,F04851,I
Dolomiaea wardii,F04852,I
Doronicum altaicum,F04853,I
Doronicum calotum,F04854,I
Doronicum conaense,F04855,I
Doronicum gansuense,F04856,I
Doronicum oblongifolium,F04857,I
Doronicum stenoglossum,F04858,I
Doronicum turkestanicum,F04859,I
Dubyaea atropurpurea,F04860,I
Dubyaea blinii,F04861,I
Dubyaea cymiformis,F04862,I
Dubyaea emeiensis,F04863,I
Dubyaea glaucescens,F04864,I
Dubyaea hispida,F04865,I
Dubyaea jinyangensis,F04866,I
Dubyaea rubra,F04867,I
Dubyaea stebbinsii,F04868,I
Dubyaea tsarongensis,F04869,I
Duhaldea cappa,F04870,I
Duhaldea eupatorioides,F04871,I
Duhaldea forrestii,F04872,I
Duhaldea lachnocephala,F04873,I
Duhaldea nervosa,F04874,I
Duhaldea pterocaula,F04875,I
Duhaldea rubricaulis,F04876,I
Duhaldea wissmanniana,F04877,I
Echinops coriophyllus,F04878,I
Echinops davuricus,F04879,I
Echinops dissectus,F04880,I
Echinops gmelinii,F04881,I
Echinops grijsii,F04882,I
Echinops humilis,F04883,I
Echinops integrifolius,F04884,I
Echinops nanus,F04885,I
Echinops przewalskyi,F04886,I
Echinops pseudosetifer,F04887,I
Echinops ritro,F04888,I
Echinops setifer,F04889,I
Echinops sphaerocephalus,F04890,I
Echinops sylvicola,F04891,I
Echinops talassicus,F04892,I
Echinops tjanschanicus,F04893,I
Echinops tricholepis,F04894,I
Eclipta prostrata,F04895,I
Elachanthemum intricatum,F04896,I
Elephantopus scaber,F04897,I
Elephantopus tomentosus,F04898,I
Eleutheranthera ruderalis,F04899,I
Emilia coccinea,F04900,I
Emilia fosbergii,F04901,I
Emilia praetermissa,F04902,I
Emilia prenanthoidea,F04903,I
Emilia sonchifolia,F04904,I
Emilia × latens,F04905,I
Enydra fluctuans,F04906,I
Epaltes australis,F04907,I
Epaltes divaricata,F04908,I
Epilasia acrolasia,F04909,I
Epilasia hemilasia,F04910,I
Erechtites hieraciifolius,F04911,I
Erechtites valerianifolius,F04912,I
Erigeron acris,F04913,I
Erigeron allochrous,F04914,I
Erigeron alpicola,F04915,I
Erigeron altaicus,F04916,I
Erigeron annuus,F04917,I
Erigeron aurantiacus,F04918,I
Erigeron bellioides,F04919,I
Erigeron bonariensis,F04920,I
Erigeron breviscapus,F04921,I
Erigeron canadensis,F04922,I
Erigeron eriocalyx,F04923,I
Erigeron fukuyamae,F04924,I
Erigeron himalajensis,F04925,I
Erigeron karvinskianus,F04926,I
Erigeron kiukiangensis,F04927,I
Erigeron krylovii,F04928,I
Erigeron kunshanensis,F04929,I
Erigeron lachnocephalus,F04930,I
Erigeron lanuginosus,F04931,I
Erigeron latifolius,F04932,I
Erigeron leioreades,F04933,I
Erigeron leucoglossus,F04934,I
Erigeron lonchophyllus,F04935,I
Erigeron morrisonensis,F04936,I
Erigeron multifolius,F04937,I
Erigeron multiradiatus,F04938,I
Erigeron oreades,F04939,I
Erigeron patentisquama,F04940,I
Erigeron petiolaris,F04941,I
Erigeron porphyrolepis,F04942,I
Erigeron pseudoseravschanicus,F04943,I
Erigeron pseudotenuicaulis,F04944,I
Erigeron purpurascens,F04945,I
Erigeron schmalhausenii,F04946,I
Erigeron seravschanicus,F04947,I
Erigeron strigosus,F04948,I
Erigeron sumatrensis,F04949,I
Erigeron taipeiensis,F04950,I
Erigeron tianschanicus,F04951,I
Erigeron trisulcus,F04952,I
Erigeron vicarius,F04953,I
Eschenbachia aegyptiaca,F04954,I
Eschenbachia blinii,F04955,I
Eschenbachia japonica,F04956,I
Eschenbachia leucantha,F04957,I
Eschenbachia muliensis,F04958,I
Eschenbachia perennis,F04959,I
Eschenbachia stricta,F04960,I
Ethulia conyzoides,F04961,I
Ethulia gracilis,F04962,I
Eupatorium amabile,F04963,I
Eupatorium cannabinum,F04964,I
Eupatorium chinense,F04965,I
Eupatorium formosanum,F04966,I
Eupatorium fortunei,F04967,I
Eupatorium heterophyllum,F04968,I
Eupatorium hualienense,F04969,I
Eupatorium japonicum,F04970,I
Eupatorium lindleyanum,F04971,I
Eupatorium luchuense,F04972,I
Eupatorium nanchuanense,F04973,I
Eupatorium omeiense,F04974,I
Eupatorium shimadae,F04975,I
Eupatorium tashiroi,F04976,I
Eurybia sibirica,F04977,I
Faberia cavaleriei,F04978,I
Faberia ceterach,F04979,I
Faberia faberi,F04980,I
Faberia lancifolia,F04981,I
Faberia nanchuanensis,F04982,I
Faberia pinnatifida,F04983,I
Faberia sinensis,F04984,I
Faberia thibetica,F04985,I
Farfugium japonicum,F04986,I
Filago arvensis,F04987,I
Filago spathulata,F04988,I
Filifolium sibiricum,F04989,I
Flaveria bidentis,F04990,I
Formania mekongensis,F04991,I
Frolovia frolowii,F04992,I
Gaillardia pulchella,F04993,I
Galatella altaica,F04994,I
Galatella angustissima,F04995,I
Galatella biflora,F04996,I
Galatella chromopappa,F04997,I
Galatella dahurica,F04998,I
Galatella fastigiiformis,F04999,I
Galatella hauptii,F05000,I
Galatella punctata,F05001,I
Galatella regelii,F05002,I
Galatella scoparia,F05003,I
Galatella tianschanica,F05004,I
Galinsoga parviflora,F05005,I
Galinsoga quadriradiata,F05006,I
Gamochaeta calviceps,F05007,I
Gamochaeta coarctata,F05008,I
Gamochaeta nanchuanensis,F05009,I
Gamochaeta norvegica,F05010,I
Gamochaeta pensylvanica,F05011,I
Gamochaeta purpurea,F05012,I
Gamochaeta sylvatica,F05013,I
Garhadiolus papposus,F05014,I
Gelasia circumflexa,F05015,I
Gelasia ensifolia,F05016,I
Gerbera jamesonii,F05017,I
Gerbera piloselloides,F05018,I
Glebionis carinata,F05019,I
Glebionis coronaria,F05020,I
Glebionis segetum,F05021,I
Glossocardia bidens,F05022,I
Gnaphalium involucratum,F05023,I
Gnaphalium japonicum,F05024,I
Gnaphalium polycaulon,F05025,I
Gnaphalium stewartii,F05026,I
Gnaphalium supinum,F05027,I
Gnaphalium uliginosum,F05028,I
Gnomophalium pulvinatum,F05029,I
Grangea maderaspatana,F05030,I
Grindelia squarrosa,F05031,I
Guizotia abyssinica,F05032,I
Gymnanthemum extensum,F05033,I
Gymnocoronis spilanthoides,F05034,I
Gynura barbareifolia,F05035,I
Gynura bicolor,F05036,I
Gynura cusimbua,F05037,I
Gynura divaricata,F05038,I
Gynura elliptica,F05039,I
Gynura formosana,F05040,I
Gynura japonica,F05041,I
Gynura nepalensis,F05042,I
Gynura procumbens,F05043,I
Gynura pseudochina,F05044,I
Hainanecio hainanensis,F05045,I
Handelia trichophylla,F05046,I
Helianthus annuus,F05047,I
Helianthus tuberosus,F05049,I
Helichrysum arenarium,F05050,I
Helichrysum kashgaricum,F05051,I
Helichrysum thianschanicum,F05052,I
Hemisteptia lyrata,F05053,I
Heteracia szovitsii,F05054,I
Heteroplexis impressinervia,F05055,I
Heteroplexis incana,F05056,I
Heteroplexis microcephala,F05057,I
Heteroplexis sericophylla,F05058,I
Heteroplexis vernonioides,F05059,I
Hieracium korshinskyi,F05060,I
Hieracium morii,F05061,I
Hieracium regelianum,F05062,I
Hieracium robustum,F05063,I
Hieracium sinoaestivum,F05064,I
Hieracium umbellatum,F05065,I
Hieracium virosum,F05066,I
Himalaiella abnormis,F05067,I
Himalaiella auriculata,F05068,I
Himalaiella deltoidea,F05069,I
Himalaiella hohuanshanense,F05070,I
Himalaiella nivea,F05071,I
Himalaiella peguensis,F05072,I
Himalaiella qinghaiensis,F05073,I
Himalaiella yakla,F05074,I
Hippolytia delavayi,F05075,I
Hippolytia desmantha,F05076,I
Hippolytia glomerata,F05077,I
Hippolytia gossypina,F05078,I
Hippolytia herderi,F05079,I
Hippolytia kaschgarica,F05080,I
Hippolytia kennedyi,F05081,I
Hippolytia senecionis,F05082,I
Hippolytia syncalathiformis,F05083,I
Hippolytia tomentosa,F05084,I
Hippolytia yunnanensis,F05085,I
Hololeion maximowiczii,F05086,I
Hypochaeris albiflora,F05087,I
Hypochaeris chillensis,F05088,I
Hypochaeris ciliata,F05089,I
Hypochaeris glabra,F05090,I
Hypochaeris maculata,F05091,I
Hypochaeris radicata,F05092,I
Indocypraea montana,F05093,I
Inula britannica,F05094,I
Inula caspica,F05095,I
Inula helenium,F05096,I
Inula helianthus-aquatilis,F05097,I
Inula hookeri,F05098,I
Inula hupehensis,F05099,I
Inula japonica,F05100,I
Inula linariifolia,F05101,I
Inula obtusifolia,F05102,I
Inula racemosa,F05103,I
Inula rhizocephala,F05104,I
Inula salicina,F05105,I
Inula salsoloides,F05106,I
Inula sericophylla,F05107,I
Ixeridium aculeolatum,F05108,I
Ixeridium beauverdianum,F05109,I
Ixeridium calcicola,F05110,I
Ixeridium dentatum,F05111,I
Ixeridium dimorphifolium,F05112,I
Ixeridium gracile,F05113,I
Ixeridium hohuanshanense,F05114,I
Ixeridium laevigatum,F05115,I
Ixeridium sagittarioides,F05116,I
Ixeridium transnokoense,F05117,I
Ixeridium yunnanense,F05118,I
Ixeris chinensis,F05119,I
Ixeris japonica,F05120,I
Ixeris polycephala,F05121,I
Ixeris repens,F05122,I
Ixeris stolonifera,F05123,I
Ixeris tamagawaensis,F05124,I
Jacobaea ambracea,F05125,I
Jacobaea analoga,F05126,I
Jacobaea argunensis,F05127,I
Jacobaea cannabifolia,F05128,I
Jacobaea echaeta,F05129,I
Jacobaea litvinovii,F05130,I
Jacobaea multibracteolata,F05131,I
Jacobaea nudicaulis,F05132,I
Jacobaea raphanifolia,F05133,I
Jacobaea tibetica,F05134,I
Jacobaea vulgaris,F05135,I
Japonicalia delphiniifolia,F05136,I
Jurinea adenocarpa,F05137,I
Jurinea algida,F05138,I
Jurinea chaetocarpa,F05139,I
Jurinea dshungarica,F05140,I
Jurinea filifolia,F05141,I
Jurinea kaschgarica,F05142,I
Jurinea lanipes,F05143,I
Jurinea lipskyi,F05144,I
Jurinea mongolica,F05145,I
Jurinea multiflora,F05146,I
Karelinia caspia,F05147,I
Kaschgaria brachanthemoides,F05148,I
Kaschgaria komarovii,F05149,I
Khasianthus subsessilis,F05150,I
Klasea cardunculus,F05151,I
Klasea centauroides,F05152,I
Klasea dissecta,F05153,I
Klasea lyratifolia,F05154,I
Klasea marginata,F05155,I
Klasea procumbens,F05156,I
Klasea sogdiana,F05157,I
Klasea suffruticulosa,F05158,I
Koelpinia linearis,F05159,I
Koyamasia curtisii,F05160,I
Lactuca dissecta,F05161,I
Lactuca dolichophylla,F05162,I
Lactuca formosana,F05163,I
Lactuca indica,F05164,I
Lactuca orientalis,F05165,I
Lactuca raddeana,F05166,I
Lactuca sativa,F05167,I
Lactuca serriola,F05168,I
Lactuca sibirica,F05169,I
Lactuca tatarica,F05170,I
Lactuca triangulata,F05171,I
Lactuca undulata,F05172,I
Lagascea mollis,F05173,I
Lagenophora sublyrata,F05174,I
Laggera alata,F05175,I
Laggera crispata,F05176,I
Lapsanastrum apogonoides,F05177,I
Lapsanastrum humile,F05178,I
Lapsanastrum takasei,F05179,I
Lapsanastrum uncinatum,F05180,I
Launaea acaulis,F05181,I
Launaea polydichotoma,F05182,I
Launaea procumbens,F05183,I
Launaea sarmentosa,F05184,I
Leibnitzia anandria,F05185,I
Leibnitzia nepalensis,F05186,I
Leibnitzia pusilla,F05187,I
Leibnitzia ruficoma,F05188,I
Leontodon hispidus,F05189,I
Leontopodium andersonii,F05190,I
Leontopodium artemisiifolium,F05191,I
Leontopodium aurantiacum,F05192,I
Leontopodium brachyactis,F05193,I
Leontopodium caespitosum,F05194,I
Leontopodium calocephalum,F05195,I
Leontopodium conglobatum,F05196,I
Leontopodium dedekensii,F05197,I
Leontopodium delavayanum,F05198,I
Leontopodium fangingense,F05199,I
Leontopodium fedtschenkoanum,F05200,I
Leontopodium forrestianum,F05201,I
Leontopodium franchetii,F05202,I
Leontopodium giraldii,F05203,I
Leontopodium haastioides,F05204,I
Leontopodium haplophylloides,F05205,I
Leontopodium himalayanum,F05206,I
Leontopodium jacotianum,F05207,I
Leontopodium japonicum,F05208,I
Leontopodium junpeianum,F05209,I
Leontopodium leontopodioides,F05210,I
Leontopodium microphyllum,F05211,I
Leontopodium monocephalum,F05212,I
Leontopodium muscoides,F05213,I
Leontopodium nanum,F05214,I
Leontopodium ochroleucum,F05215,I
Leontopodium omeiense,F05216,I
Leontopodium pusillum,F05217,I
Leontopodium roseum,F05218,I
Leontopodium sinense,F05219,I
Leontopodium smithianum,F05220,I
Leontopodium souliei,F05221,I
Leontopodium stoloniferum,F05222,I
Leontopodium stracheyi,F05223,I
Leontopodium suffruticosum,F05224,I
Leontopodium villosum,F05225,I
Leontopodium wilsonii,F05226,I
Leucanthemella linearis,F05227,I
Leucanthemum vulgare,F05228,I
Leucomeris decora,F05229,I
Ligularia achyrotricha,F05230,I
Ligularia alatipes,F05231,I
Ligularia alpigena,F05232,I
Ligularia altaica,F05233,I
Ligularia anoleuca,F05234,I
Ligularia atkinsonii,F05235,I
Ligularia atroviolacea,F05236,I
Ligularia biceps,F05237,I
Ligularia botryodes,F05238,I
Ligularia caloxantha,F05239,I
Ligularia calthifolia,F05240,I
Ligularia chalybea,F05241,I
Ligularia changiana,F05242,I
Ligularia chekiangensis,F05243,I
Ligularia chimiliensis,F05244,I
Ligularia confertiflora,F05245,I
Ligularia cremanthodioides,F05246,I
Ligularia cuneata,F05247,I
Ligularia curvisquama,F05248,I
Ligularia cyathiceps,F05249,I
Ligularia cymbulifera,F05250,I
Ligularia cymosa,F05251,I
Ligularia dalaolingensis,F05252,I
Ligularia dentata,F05253,I
Ligularia dictyoneura,F05254,I
Ligularia discoidea,F05255,I
Ligularia dolichobotrys,F05256,I
Ligularia duciformis,F05257,I
Ligularia dux,F05258,I
Ligularia eriocaulis,F05259,I
Ligularia euryphylla,F05260,I
Ligularia fargesii,F05261,I
Ligularia fischeri,F05262,I
Ligularia franchetiana,F05263,I
Ligularia ghatsukupa,F05264,I
Ligularia hamiica,F05265,I
Ligularia heterophylla,F05266,I
Ligularia hodgsonii,F05267,I
Ligularia hookeri,F05268,I
Ligularia hopeiensis,F05269,I
Ligularia intermedia,F05270,I
Ligularia jaluensis,F05271,I
Ligularia jamesii,F05272,I
Ligularia japonica,F05273,I
Ligularia jiajinshanensis,F05274,I
Ligularia kanaitzensis,F05275,I
Ligularia kojimae,F05276,I
Ligularia konkalingensis,F05277,I
Ligularia kunlunshanica,F05278,I
Ligularia lamarum,F05279,I
Ligularia lankongensis,F05280,I
Ligularia lapathifolia,F05281,I
Ligularia latihastata,F05282,I
Ligularia latipes,F05283,I
Ligularia leveillei,F05284,I
Ligularia lhunzensis,F05285,I
Ligularia liatroides,F05286,I
Ligularia lidjiangensis,F05287,I
Ligularia limprichtii,F05288,I
Ligularia lingiana,F05289,I
Ligularia longifolia,F05290,I
Ligularia longihastata,F05291,I
Ligularia macrodonta,F05292,I
Ligularia macrophylla,F05293,I
Ligularia melanocephala,F05294,I
Ligularia melanothyrsa,F05295,I
Ligularia microcardia,F05296,I
Ligularia microcephala,F05297,I
Ligularia mongolica,F05298,I
Ligularia monocephala,F05299,I
Ligularia muliensis,F05300,I
Ligularia myriocephala,F05301,I
Ligularia nanchuanica,F05302,I
Ligularia nelumbifolia,F05303,I
Ligularia nyingchiensis,F05304,I
Ligularia odontomanes,F05305,I
Ligularia oligonema,F05306,I
Ligularia paradoxa,F05307,I
Ligularia parvifolia,F05308,I
Ligularia petiolaris,F05309,I
Ligularia phaenicochaeta,F05310,I
Ligularia phyllocolea,F05311,I
Ligularia platyglossa,F05312,I
Ligularia pleurocaulis,F05313,I
Ligularia potaninii,F05314,I
Ligularia przewalskii,F05315,I
Ligularia pseudolamarum,F05316,I
Ligularia pterodonta,F05317,I
Ligularia pubifolia,F05318,I
Ligularia purdomii,F05319,I
Ligularia pyrifolia,F05320,I
Ligularia qiaojiaensis,F05321,I
Ligularia retusa,F05322,I
Ligularia rockiana,F05323,I
Ligularia ruficoma,F05324,I
Ligularia rumicifolia,F05325,I
Ligularia sachalinensis,F05326,I
Ligularia sagitta,F05327,I
Ligularia schmidtii,F05328,I
Ligularia secunda,F05329,I
Ligularia sibirica,F05330,I
Ligularia stenocephala,F05331,I
Ligularia stenoglossa,F05332,I
Ligularia subspicata,F05333,I
Ligularia tangutorum,F05334,I
Ligularia tenuicaulis,F05335,I
Ligularia tenuipes,F05336,I
Ligularia tongkyukensis,F05337,I
Ligularia tongolensis,F05338,I
Ligularia transversifolia,F05339,I
Ligularia tsangchanensis,F05340,I
Ligularia tulupanica,F05341,I
Ligularia veitchiana,F05342,I
Ligularia vellerea,F05343,I
Ligularia virgaurea,F05344,I
Ligularia wilsoniana,F05345,I
Ligularia xanthotricha,F05346,I
Ligularia xinjiangensis,F05347,I
Ligularia yunnanensis,F05348,I
Ligularia zhengyiana,F05349,I
Ligularia zhouquensis,F05350,I
Ligularia × maoniushanensis,F05351,I
Ligulariopsis shichuana,F05352,I
Lihengia amoena,F05353,I
Lihengia gombalana,F05354,I
Lipschitzia divaricata,F05355,I
Matricaria chamomilla,F05356,I
Matricaria matricarioides,F05357,I
Melanoseris atropurpurea,F05358,I
Melanoseris beesiana,F05359,I
Melanoseris bonatii,F05360,I
Melanoseris bracteata,F05361,I
Melanoseris ciliata,F05362,I
Melanoseris cyanea,F05363,I
Melanoseris dolichophylla,F05364,I
Melanoseris graciliflora,F05365,I
Melanoseris henryi,F05366,I
Melanoseris hirsuta,F05367,I
Melanoseris jilongensis,F05368,I
Melanoseris leiolepis,F05369,I
Melanoseris leptantha,F05370,I
Melanoseris lessertiana,F05371,I
Melanoseris likiangensis,F05372,I
Melanoseris macrantha,F05373,I
Melanoseris macrocephala,F05374,I
Melanoseris macrorhiza,F05375,I
Melanoseris monocephala,F05376,I
Melanoseris pectiniformis,F05377,I
Melanoseris qinghaica,F05378,I
Melanoseris rhombiformis,F05379,I
Melanoseris souliei,F05380,I
Melanoseris tenuis,F05381,I
Melanoseris violifolia,F05382,I
Melanoseris yunnanensis,F05383,I
Microcephala subglobosa,F05384,I
Microglossa pyrifolia,F05385,I
Mikania cordata,F05386,I
Mikania micrantha,F05387,I
Mojiangia oreophila,F05388,I
Monosis parishii,F05389,I
Monosis volkameriifolia,F05390,I
Myriactis delavayi,F05391,I
Myriactis humilis,F05392,I
Myriactis nepalensis,F05393,I
Myriactis wallichii,F05394,I
Myriactis wightii,F05395,I
Nabalus ochroleucus,F05396,I
Nabalus tatarinowii,F05397,I
Nannoglottis carpesioides,F05398,I
Nannoglottis delavayi,F05399,I
Nannoglottis gynura,F05400,I
Nannoglottis hieraciophylla,F05401,I
Nannoglottis hookeri,F05402,I
Nannoglottis latisquama,F05403,I
Nannoglottis macrocarpa,F05404,I
Nannoglottis ravida,F05405,I
Nannoglottis yunnanensis,F05406,I
Nemosenecio concinnus,F05407,I
Nemosenecio formosanus,F05408,I
Nemosenecio incisifolius,F05409,I
Nemosenecio solenoides,F05410,I
Nemosenecio yunnanensis,F05411,I
Neobrachyactis anomala,F05412,I
Neobrachyactis pubescens,F05413,I
Neobrachyactis roylei,F05414,I
Neopallasia pectinata,F05415,I
Notoseris guizhouensis,F05416,I
Notoseris henryi,F05417,I
Notoseris macilenta,F05418,I
Notoseris nanchuanensis,F05419,I
Notoseris porphyrolepis,F05420,I
Notoseris scandens,F05421,I
Notoseris triflora,F05422,I
Notoseris yakoensis,F05423,I
Notoseris yunnanensis,F05424,I
Nouelia insignis,F05425,I
Olgaea laniceps,F05426,I
Olgaea leucophylla,F05427,I
Olgaea lomonossowii,F05428,I
Olgaea pectinata,F05429,I
Olgaea roborowskyi,F05430,I
Olgaea tangutica,F05431,I
Oligochaeta minima,F05432,I
Onopordum acanthium,F05433,I
Onopordum leptolepis,F05434,I
Opisthopappus taihangensis,F05435,I
Oreoseris delavayi,F05436,I
Oreoseris henryi,F05437,I
Oreoseris latiligulata,F05438,I
Oreoseris maxima,F05439,I
Oreoseris nivea,F05440,I
Oreoseris raphanifolia,F05441,I
Oreoseris rupicola,F05442,I
Oreoseris tanantii,F05443,I
Paraprenanthes diversifolia,F05444,I
Paraprenanthes melanantha,F05445,I
Paraprenanthes multiformis,F05446,I
Paraprenanthes oligolepis,F05447,I
Paraprenanthes polypodiifolia,F05448,I
Paraprenanthes prenanthoides,F05449,I
Paraprenanthes sororia,F05450,I
Paraprenanthes triflora,F05451,I
Paraprenanthes umbrosa,F05452,I
Paraprenanthes wilsonii,F05453,I
Paraprenanthes yunnanensis,F05454,I
Parasenecio ainsliaeiflorus,F05455,I
Parasenecio albus,F05456,I
Parasenecio ambiguus,F05457,I
Parasenecio anhuiensis,F05458,I
Parasenecio auriculatus,F05459,I
Parasenecio begoniifolius,F05460,I
Parasenecio bulbiferoides,F05461,I
Parasenecio caroli,F05462,I
Parasenecio chola,F05463,I
Parasenecio cyclotus,F05464,I
Parasenecio dasythyrsus,F05465,I
Parasenecio delphiniifolius,F05466,I
Parasenecio deltophyllus,F05467,I
Parasenecio dissectus,F05468,I
Parasenecio forrestii,F05469,I
Parasenecio gansuensis,F05470,I
Parasenecio hastatus,F05471,I
Parasenecio hastiformis,F05472,I
Parasenecio hwangshanicus,F05473,I
Parasenecio ianthophyllus,F05474,I
Parasenecio jiulongensis,F05475,I
Parasenecio kangxianensis,F05476,I
Parasenecio komarovianus,F05477,I
Parasenecio koualapensis,F05478,I
Parasenecio lancifolius,F05479,I
Parasenecio latipes,F05480,I
Parasenecio leucocephalus,F05481,I
Parasenecio lidjiangensis,F05482,I
Parasenecio longispicus,F05483,I
Parasenecio maowenensis,F05484,I
Parasenecio matsudae,F05485,I
Parasenecio morrisonensis,F05486,I
Parasenecio nokoensis,F05487,I
Parasenecio otopteryx,F05488,I
Parasenecio palmatisectus,F05489,I
Parasenecio petasitoides,F05490,I
Parasenecio phyllolepis,F05491,I
Parasenecio pilgerianus,F05492,I
Parasenecio praetermissus,F05493,I
Parasenecio profundorum,F05494,I
Parasenecio quinquelobus,F05495,I
Parasenecio roborowskii,F05496,I
Parasenecio rockianus,F05497,I
Parasenecio rubescens,F05498,I
Parasenecio rufipilis,F05499,I
Parasenecio sinicus,F05500,I
Parasenecio souliei,F05501,I
Parasenecio taliensis,F05502,I
Parasenecio tenianus,F05503,I
Parasenecio tripteris,F05504,I
Parasenecio tsinlingensis,F05505,I
Parasenecio vespertilio,F05506,I
Parasenecio weiningensis,F05507,I
Parasenecio xinjiashanensis,F05508,I
Parthenium hysterophorus,F05509,I
Pectis prostrata,F05510,I
Pentanema cernuum,F05511,I
Pentanema indicum,F05512,I
Pentanema vestitum,F05513,I
Pericallis × hybrida,F05514,I
Pertya angustifolia,F05515,I
Pertya berberidoides,F05516,I
Pertya bodinieri,F05517,I
Pertya cordifolia,F05518,I
Pertya corymbosa,F05519,I
Pertya desmocephala,F05520,I
Pertya dioica,F05521,I
Pertya discolor,F05522,I
Pertya ferruginea,F05523,I
Pertya henanensis,F05524,I
Pertya huangii,F05525,I
Pertya markamensis,F05526,I
Pertya monocephala,F05527,I
Pertya multiflora,F05528,I
Pertya phylicoides,F05529,I
Pertya pubescens,F05530,I
Pertya pungens,F05531,I
Pertya scandens,F05532,I
Pertya simozawae,F05533,I
Pertya sinensis,F05534,I
Pertya tsoongiana,F05535,I
Pertya uniflora,F05536,I
Petasites formosanus,F05537,I
Petasites japonicus,F05538,I
Petasites rubellus,F05539,I
Petasites tatewakianus,F05540,I
Petasites tricholobus,F05541,I
Petasites versipilus,F05542,I
Phagnalon niveum,F05543,I
Picris divaricata,F05544,I
Picris hieracioides,F05545,I
Picris japonica,F05546,I
Picris junnanensis,F05547,I
Picris morrisonensis,F05548,I
Picris nuristanica,F05549,I
Picris ohwiana,F05550,I
Pilosella echioides,F05551,I
Pilosella procera,F05552,I
Plagiobasis centauroides,F05553,I
Pluchea carolinensis,F05554,I
Pluchea eupatorioides,F05555,I
Pluchea indica,F05556,I
Pluchea pteropoda,F05557,I
Pluchea sagittalis,F05558,I
Porophyllum ruderale,F05559,I
Praxelis clematidea,F05560,I
Psephellus sibiricus,F05561,I
Pseudelephantopus spicatus,F05562,I
Pseudoconyza viscosa,F05563,I
Pseudognaphalium adnatum,F05564,I
Pseudognaphalium affine,F05565,I
Pseudognaphalium chrysocephalum,F05566,I
Pseudognaphalium flavescens,F05567,I
Pseudognaphalium hypoleucum,F05568,I
Pseudognaphalium luteoalbum,F05569,I
Pseudohandelia umbellifera,F05570,I
Pseudopodospermum inconspicuum,F05571,I
Pseudopodospermum pubescens,F05572,I
Psychrogeton nigromontanus,F05573,I
Psychrogeton poncinsii,F05574,I
Pterocaulon redolens,F05575,I
Pulicaria chrysantha,F05576,I
Pulicaria dysenterica,F05577,I
Pulicaria gnaphalodes,F05578,I
Pulicaria insignis,F05579,I
Pulicaria salviifolia,F05580,I
Pulicaria vulgaris,F05581,I
Rhaponticoides dschungarica,F05582,I
Rhaponticoides kasakorum,F05583,I
Rhaponticoides ruthenica,F05584,I
Rhaponticum carthamoides,F05585,I
Rhaponticum chinense,F05586,I
Rhaponticum repens,F05587,I
Rhaponticum uniflorum,F05588,I
Richteria pyrethroides,F05589,I
Rudbeckia hirta,F05590,I
Rudbeckia laciniata,F05591,I
Russowia sogdiana,F05592,I
Saussurea acromelaena,F05593,I
Saussurea acrophila,F05594,I
Saussurea acroura,F05595,I
Saussurea acuminata,F05596,I
Saussurea acutisquama,F05597,I
Saussurea aerjingensis,F05598,I
Saussurea alaschanica,F05599,I
Saussurea alata,F05600,I
Saussurea alatipes,F05601,I
Saussurea alberti,F05602,I
Saussurea alpina,F05603,I
Saussurea amara,F05604,I
Saussurea amurensis,F05605,I
Saussurea andersonii,F05606,I
Saussurea andryaloides,F05607,I
Saussurea apus,F05608,I
Saussurea arenaria,F05609,I
Saussurea aster,F05610,I
Saussurea austrotibetica,F05611,I
Saussurea baicalensis,F05612,I
Saussurea balangshanensis,F05613,I
