Grid_ID,MCI
0,11.12559355
1,5.902890284
2,2.474805087
3,7.831594166
4,-0.000354509
5,1.317757962
6,3.424503568
7,5.001570115
8,-0.910426647
9,9.501828224
10,1.266489043
11,0.664491517
12,6.604559823
13,-0.087714242
14,2.975013649
15,-0.421450111
16,1.199286142
17,4.747635192
18,8.612057009
19,7.187768139
20,2.292185699
21,8.361980442
22,1.205325115
23,1.597198612
24,9.401219585
25,7.931960067
26,4.402685947
27,7.392060758
28,7.991804
29,3.396308056
30,-0.2182798
31,4.602321369
32,5.412134761
33,1.693805652
34,9.193196303
35,0.862492053
36,2.67367321
37,0.784602551
38,7.210691761
39,3.583547699
40,5.561238396
41,2.157594459
42,6.333302126
43,4.926311139
44,5.722695411
45,8.861655756
46,0.830680664
47,0.807316199
48,7.991388196
49,4.004865525
50,4.09821757
51,8.799937003
52,3.53888484
53,5.203369478
54,0.098559815
55,8.553248454
56,0.951397799
57,2.743979244
58,9.162418458
59,3.80612865
60,6.139434286
61,2.341437541
62,7.103737326
63,1.54283738
64,1.288613878
65,10.79271469
66,7.41354038
67,-0.546441739
68,8.569362985
69,1.827757547
70,7.525168282
71,8.677137669
72,0.47036284
73,2.577150154
74,1.840060373
75,0.984835463
76,3.054464455
77,5.109241391
78,8.909225548
79,7.486150515
80,1.225390559
81,3.374475025
82,7.949389171
83,-0.660439567
84,5.003237816
85,9.090128383
86,4.180851087
87,3.396308056
88,5.586468312
89,5.851674216
90,8.429992595
91,5.988734278
92,5.625119389
93,1.42372539
94,3.487038104
95,4.185969666
96,8.311157705
97,4.350053167
98,7.338715594
99,3.809647351
100,1.745166481
101,4.107019987
102,8.686073319
103,2.056155342
104,8.216010338
105,2.371598087
106,4.673215014
107,5.490020759
108,-0.141796444
109,8.500066698
110,3.308829078
111,3.324026334
112,8.237452232
113,0.487747955
114,7.603146551
115,1.992928506
116,5.472958089
117,3.269440657
118,7.618055055
119,4.703379411
120,4.115203891
121,4.095674709
122,0.018196756
123,5.399293657
124,5.017844311
125,0.918638791
126,4.646621892
127,2.681431691
128,5.888699652
129,0.082365431
130,2.586795342
131,2.506281493
132,2.037600375
133,7.144171676
134,4.293730436
135,8.136885288
136,4.619673632
137,3.711271187
138,3.699134267
139,0.762651964
140,11.15928126
141,8.463203923
142,10.2712061
143,2.837795339
144,10.31187358
145,1.086416619
146,-0.04610158
147,1.054421932
148,6.007218048
149,7.43540087
150,8.520812414
151,0.540158963
152,8.476769579
153,1.454011411
154,8.243351439
155,7.467021762
156,10.81824265
157,5.521997248
158,2.400815572
159,0.016879118
160,5.547995535
161,7.793242092
162,6.37294966
163,1.978557379
164,6.420558248
165,2.367624062
166,-0.970516029
167,9.354142261
168,8.422916875
169,5.456555065
170,1.044657794
171,2.336775705
172,7.978136837
173,5.076389352
174,3.917204883
175,-0.04610158
176,2.396884502
177,8.825453635
178,26.9373484
179,3.78864074
180,1.354088291
181,7.136033905
182,27.95999125
183,-0.317690773
184,6.933160963
185,5.099670171
186,3.3829943
187,-0.432670529
188,3.416867509
189,0.633751626
190,10.28664889
191,2.269221561
192,6.798768793
193,1.845624205
194,6.461638054
195,7.36014389
196,7.104305902
197,1.402232546
198,2.331455486
199,6.478817119
200,-0.489357248
201,7.952772941
202,11.14286357
203,1.314757657
204,7.550646184
205,9.061889429
206,2.037816309
207,2.119693196
208,5.377805273
209,4.359367647
210,2.47706404
211,1.923927502
212,8.001616638
213,5.7005973
214,2.732298625
215,2.666766982
216,4.583372918
217,4.118989455
218,8.281536633
219,4.205984311
220,-0.546441739
221,6.072337959
222,-0.67138927
223,6.626318231
224,2.498471992
225,3.002790954
226,9.670861626
227,6.00830161
228,0.83898085
229,-0.01062932
230,6.338463429
231,25.43979765
232,7.924539035
233,1.149057201
234,8.412522113
235,1.149548777
236,6.839081504
237,-0.157061257
238,0.740056036
239,6.236501529
240,4.900126096
241,4.268271002
242,0.062377074
243,0.347197835
244,-0.494670721
245,1.274840942
246,1.267333887
247,2.564257901
248,8.4001845
249,4.369843895
250,0.02507813
251,0.013844471
252,6.903419349
253,3.59690185
254,5.334339241
255,0.500997837
256,0.690673281
257,0.406902729
258,-0.398680936
259,8.259846421
260,5.267358128
261,8.102752299
262,-0.910426647
263,1.032587133
264,2.553828845
265,9.271205109
266,1.478195413
267,7.111984753
268,-0.910426647
269,3.513434773
270,0.98500088
271,1.195007328
272,8.267156004
273,10.05569342
274,8.8547375
275,5.469980409
