FlowerID,Inflorescence,OccNum_All,OccNum_Beetles,OccNum_Flies,OccNum_Bees,OccNum_Wasps,OccNum_Butterflies,OccNum_Moths
F10069,D,0.464416058,0.544642857,0.512333966,0.655737705,0.393333333,0.585585586,0.347704367
F10070,I,0.106067518,0.089285714,0.093927894,0.295081967,0.153333333,0.160524161,0.066629339
F10072,I,0.28854927,0.241071429,0.328273245,0.508196721,0.3,0.371826372,0.20268757
F10073,D,0.699133212,0.678571429,0.666034156,0.770491803,0.553333333,0.761670762,0.687010078
F10074,D,0.255474453,0.223214286,0.273244782,0.475409836,0.293333333,0.341523342,0.177491601
F10075,I,0.049041971,0.053571429,0.031309298,0.213114754,0.1,0.094185094,0.018477044
F10076,D,0.133895985,0.026785714,0.064516129,0.163934426,0.033333333,0.242424242,0.114781635
F10078,D,0.686359489,0.705357143,0.534155598,0.754098361,0.486666667,0.771498771,0.731243001
F10079,I,0.236998175,0.223214286,0.256166983,0.426229508,0.353333333,0.257985258,0.195968645
F10080,I,0.063184307,0.017857143,0.033206831,0.049180328,0.013333333,0.157248157,0.024076148
F10081,I,0.373175182,0.258928571,0.101518027,0.196721311,0.173333333,0.416052416,0.534154535
F10082,I,0.01459854,0.008928571,0.004743833,0.016393443,0.006666667,0.037674038,0.005599104
F10083,I,0.053375912,0.008928571,0.020872865,0.098360656,0.006666667,0.126945127,0.02743561
F10084,I,0.139826642,0.071428571,0.149905123,0.262295082,0.14,0.16953317,0.113661814
F10085,D,0.233804745,0.116071429,0.177419355,0.245901639,0.06,0.420966421,0.160694289
F10086,D,0.26870438,0.160714286,0.256166983,0.37704918,0.153333333,0.461916462,0.156774916
F10087,D,0.054972628,0.044642857,0.05597723,0.049180328,0.026666667,0.117936118,0.014557671
F10090,D,0.225136861,0.151785714,0.202087287,0.360655738,0.093333333,0.40950041,0.123740202
F10091,D,0.143020073,0.044642857,0.074003795,0.131147541,0.033333333,0.303849304,0.089585666
F10092,D,0.010264599,0,0.007590133,0,0,0.022113022,0.005599104
F10093,D,0.182025547,0.107142857,0.127134725,0.262295082,0.12,0.335790336,0.116461366
F10095,D,0.000228102,0,0,0,0.006666667,0,0
F10096,D,0.451414234,0.205357143,0.285578748,0.459016393,0.146666667,0.630630631,0.467525196
F10097,D,0.022582117,0.008928571,0.018975332,0.032786885,0,0.047502048,0.010078387
F10098,D,0.090100365,0.026785714,0.04459203,0.081967213,0.013333333,0.19000819,0.059350504
F10099,D,0.068430657,0.017857143,0.029411765,0.06557377,0,0.17035217,0.030795073
F10100,D,0.097855839,0.044642857,0.078747628,0.180327869,0.046666667,0.191646192,0.049832027
F10101,D,0.020985401,0.008928571,0.007590133,0.049180328,0,0.058968059,0.004479283
F10102,D,0.336906934,0.178571429,0.294117647,0.442622951,0.12,0.52006552,0.261478163
F10103,D,0.367928832,0.241071429,0.09487666,0.196721311,0.173333333,0.413595414,0.527995521
F10104,I,0.054288321,0.017857143,0.019924099,0.032786885,0,0.145782146,0.019596865
F10105,D,0.125912409,0.0625,0.104364326,0.213114754,0.06,0.23996724,0.06718925
F10106,I,0.454379562,0.553571429,0.524667932,0.68852459,0.406666667,0.558558559,0.331466965
