Grid_ID,H_Rank,H_Rank_NoSo,H_Rank_NoDf,H_Rank_NoCo,H_Rank_NoSk,H_Rank_NoUm,H_Rank_NoRa,H_Rank_NoCp,H_Rank_NoPa,H_Rank_NoCk
0,0.46788990825688076,0.45321100917431195,0.46788990825688076,0.45137614678899085,0.43761467889908257,0.5165137614678899,0.44403669724770645,0.45504587155963305,0.41834862385321103,0.5779816513761468
1,0.9339449541284404,0.9211009174311927,0.936697247706422,0.9229357798165138,0.9192660550458716,0.9146788990825688,0.9100917431192661,0.9128440366972477,0.9256880733944954,0.8990825688073395
2,0.12201834862385322,0.12110091743119267,0.10366972477064221,0.1761467889908257,0.0944954128440367,0.18256880733944955,0.13211009174311927,0.11284403669724771,0.13211009174311927,0.08073394495412844
3,0.8660550458715597,0.8623853211009175,0.9119266055045872,0.8477064220183487,0.8440366972477065,0.8605504587155963,0.8091743119266055,0.8302752293577982,0.8155963302752294,0.9422018348623853
4,0.1243119266055046,0.11513761467889909,0.10229357798165138,0.10321100917431193,0.10137614678899083,0.18577981651376146,0.14541284403669724,0.11284403669724771,0.12981651376146788,0.13807339449541284
5,0.013302752293577982,0.022477064220183487,0.016972477064220184,0.015596330275229359,0.01926605504587156,0.005504587155963303,0.011467889908256881,0.026605504587155965,0.02706422018348624,0.013302752293577982
6,0.6660550458715596,0.6605504587155964,0.5642201834862385,0.6651376146788991,0.6403669724770642,0.6596330275229357,0.6311926605504588,0.8678899082568807,0.7119266055045872,0.5422018348623853
7,0.955045871559633,0.9642201834862385,0.9834862385321101,0.9284403669724771,0.9596330275229358,0.9715596330275229,0.9009174311926605,0.9587155963302753,0.9357798165137615,0.7394495412844037
8,0.018807339449541285,0.026605504587155965,0.012385321100917432,0.020642201834862386,0.02522935779816514,0.022935779816513763,0.029357798165137616,0.012844036697247707,0.015596330275229359,0.018807339449541285
9,0.1577981651376147,0.14862385321100918,0.13211009174311927,0.14128440366972478,0.13119266055045872,0.163302752293578,0.3376146788990826,0.1798165137614679,0.15504587155963304,0.15504587155963304
10,0.8128440366972477,0.8165137614678899,0.7431192660550459,0.863302752293578,0.8339449541284404,0.7504587155963303,0.7743119266055046,0.8660550458715597,0.7981651376146789,0.7623853211009174
11,0.4055045871559633,0.3889908256880734,0.30458715596330277,0.26238532110091745,0.46788990825688076,0.3302752293577982,0.7752293577981652,0.3623853211009174,0.9724770642201835,0.16972477064220184
12,0.4761467889908257,0.4669724770642202,0.5577981651376147,0.44403669724770645,0.46972477064220186,0.43211009174311926,0.48073394495412847,0.42660550458715596,0.46055045871559636,0.5385321100917431
13,0.05137614678899083,0.047706422018348627,0.07155963302752294,0.060550458715596334,0.043119266055045874,0.06330275229357799,0.05137614678899083,0.04128440366972477,0.036238532110091745,0.05137614678899083
14,0.8477064220183487,0.8366972477064221,0.781651376146789,0.8486238532110092,0.8376146788990826,0.8871559633027523,0.865137614678899,0.8119266055045872,0.863302752293578,0.8293577981651377
15,0.1596330275229358,0.1577981651376147,0.3477064220183486,0.1243119266055046,0.1669724770642202,0.12935779816513762,0.14220183486238533,0.14770642201834863,0.15688073394495414,0.17889908256880735
16,0.008256880733944955,0.003211009174311927,0.0022935779816513763,0.009174311926605505,0.011009174311926606,0.010091743119266056,0.015137614678899083,0.018807339449541285,0.015596330275229359,0.008256880733944955
17,0.7440366972477064,0.7568807339449541,0.7018348623853211,0.8091743119266055,0.7256880733944954,0.7376146788990826,0.6825688073394496,0.8146788990825689,0.710091743119266,0.6321100917431193
