"bin_id","bin_start_age","bin_end_age","bin_duration","GMST_05","GMST_16","GMST_50","GMST_84","GMST_95","n_climate_periods","total_overlap_duration","coverage_percent"
1,0,5.55860084239998,5.55860084239998,13.4368229676092,13.8277200832195,14.6281636980517,15.7146689774739,16.2904279347214,8,5.55860084239998,100
2,5.55860084239998,11.1172016848,5.55860084239998,18.1379103932017,18.4768540951286,19.4973562945432,20.3962518434266,20.8408095887544,2,5.55860084239998,100
3,11.1172016848,16.6758025271999,5.55860084239998,20.8938213538129,21.5384051247241,23.4498407908798,25.0901730020659,25.7483507789423,4,5.55860084239998,100
4,16.6758025271999,22.2344033695999,5.55860084239998,20.8636703509902,21.6511723986061,23.4192779761038,24.8562426052834,25.8502268538304,2,5.55860084239998,100
5,22.2344033695999,27.7930042119999,5.55860084239998,21.3539280498662,22.1650986777004,23.2329494917247,24.1859133785042,24.8141831328296,3,5.55860084239998,100
6,27.7930042119999,33.3516050543999,5.55860084239998,21.0518839,22.29267588,23.39550734,24.55765341,25.08629044,1,5.55860084239998,100
7,33.3516050543999,38.9102058967998,5.55860084239998,24.608401214127,25.2164204314648,26.2334204740825,27.4934705037985,28.1246543953193,3,5.55860084239998,100
8,38.9102058967998,44.4688067391998,5.55860084239998,25.1552486952046,25.9032684949463,27.382560938589,30.6567199722087,31.7111598135324,2,5.55860084239998,100
9,44.4688067391998,50.0274075815998,5.55860084239998,26.3909243959083,27.2888830742103,28.8508211074591,33.0235106281334,34.250212277473,2,5.55860084239998,100
10,50.0274075815998,55.5860084239998,5.55860084239998,29.73215774,30.77067423,32.28211043,35.91504085,37.26940057,1,5.55860084239998,100
11,55.5860084239998,61.1446092663997,5.55860084239998,25.2812910780666,26.1001077007419,27.2822615292033,29.0813364463876,30.2169084196493,4,5.55860084239998,100
12,61.1446092663997,66.7032101087997,5.55860084239998,24.9406341176272,26.4048406450767,28.2971232351986,30.2656689723639,31.2328408909045,2,5.55860084239998,100
13,66.7032101087997,72.2618109511997,5.55860084239998,21.6134037536637,22.7447767697553,24.5667330805768,25.9645702291717,26.8759982568139,2,5.55860084239998,100
14,72.2618109511997,77.8204117935997,5.55860084239997,24.38644416,26.11725398,28.13492725,29.87347976,31.05879271,1,5.55860084239997,100
15,77.8204117935997,83.3790126359996,5.55860084239997,24.38644416,26.11725398,28.13492725,29.87347976,31.05879271,1,5.55860084239997,100
16,83.3790126359996,88.9376134783996,5.55860084239998,29.0310909698252,29.7181977576359,31.7462233451858,36.8539667743364,39.4880294849217,3,5.55860084239998,100
17,88.9376134783996,94.4962143207996,5.55860084239998,30.7236896130255,32.5688508575052,35.1419019728006,40.5202089991798,43.115736261007,3,5.55860084239998,100
18,94.4962143207996,100.0548151632,5.55860084239997,28.45027954,30.57751117,34.13595782,39.22868488,40.22085579,1,5.55860084239997,100
19,100.0548151632,105.6134160056,5.55860084239997,23.4474897168522,24.757160442261,26.6621903672332,29.4482198021782,31.7831212456329,2,5.55860084239997,100
20,105.6134160056,111.172016848,5.55860084239998,23.01193623,24.25042837,26.01150833,28.59671178,31.04851419,1,5.55860084239998,100
21,111.172016848,116.730617690399,5.55860084239998,23.8871352039806,25.7912659415583,29.81676719893,33.7734312038002,35.1726555408962,2,5.55860084239998,100
22,116.730617690399,122.289218532799,5.55860084239997,24.1559013211962,26.4232005266677,31.7646310973547,36.2663130670838,37.1277008542063,2,5.55860084239997,100
23,122.289218532799,127.847819375199,5.55860084239997,22.4215258791562,24.4966252592721,29.7296521371352,32.9448221414815,34.0793745279815,2,5.55860084239997,100
24,127.847819375199,133.406420217599,5.55860084239998,21.0784394502226,22.9316585682102,27.4153746572891,30.8294779326386,32.2709498790971,2,5.55860084239998,100
25,133.406420217599,138.965021059999,5.55860084239998,22.2019243451229,24.4144432358685,27.9625604195762,32.6089269989261,37.1511621845302,2,5.55860084239998,100
