FlowerID,D.R1,I.R1,D.R2,I.R2
F00176,0,0.17548754772712,0,0.82451245227288
F01038,0,0.17548754772712,0,0.82451245227288
F01181,0,0.17548754772712,0,0.82451245227288
F01493,0,0.17548754772712,0,0.82451245227288
F01524,0,0.17548754772712,0,0.82451245227288
F01553,0,0.17548754772712,0,0.82451245227288
F01549,0,0.17548754772712,0,0.82451245227288
F01567,0,0.17548754772712,0,0.82451245227288
F01571,0.222150108738862,0,0.777849891261138,0
F01737,0,0.17548754772712,0,0.82451245227288
F01776,0,0.17548754772712,0,0.82451245227288
F06472,0,0.17548754772712,0,0.82451245227288
F06471,0,0.17548754772712,0,0.82451245227288
F06470,0,0.17548754772712,0,0.82451245227288
F06459,0,0.17548754772712,0,0.82451245227288
F06487,0,0.17548754772712,0,0.82451245227288
F06476,0,0.17548754772712,0,0.82451245227288
F06461,0,0.17548754772712,0,0.82451245227288
F06521,0.222150108738862,0,0.777849891261138,0
F06539,0.222150108738862,0,0.777849891261138,0
F06530,0.222150108738862,0,0.777849891261138,0
F06568,0.222150108738862,0,0.777849891261138,0
F06566,0.222150108738862,0,0.777849891261138,0
F06563,0.222150108738862,0,0.777849891261138,0
F06562,0.222150108738862,0,0.777849891261138,0
F06558,0.222150108738862,0,0.777849891261138,0
F06557,0.222150108738862,0,0.777849891261138,0
F06551,0.222150108738862,0,0.777849891261138,0
F06538,0.222150108738862,0,0.777849891261138,0
F06533,0.222150108738862,0,0.777849891261138,0
F06588,0.222150108738862,0,0.777849891261138,0
F06594,0.222150108738862,0,0.777849891261138,0
F06596,0.222150108738862,0,0.777849891261138,0
F06609,0.222150108738862,0,0.777849891261138,0
F06634,0.222150108738862,0,0.777849891261138,0
F06680,0.222150108738862,0,0.777849891261138,0
F06704,0.222150108738862,0,0.777849891261138,0
F06696,0.222150108738862,0,0.777849891261138,0
F06725,0.222150108738862,0,0.777849891261138,0
F06820,0.222150108738862,0,0.777849891261138,0
F06825,0.222150108738862,0,0.777849891261138,0
F06868,0.222150108738862,0,0.777849891261138,0
F06878,0.222150108738862,0,0.777849891261138,0
F06931,0.222150108738862,0,0.777849891261138,0
F06965,0.222150108738862,0,0.777849891261138,0
F06968,0.222150108738862,0,0.777849891261138,0
F07006,0.222150108738862,0,0.777849891261138,0
F06994,0.222150108738862,0,0.777849891261138,0
F07050,0,0.17548754772712,0,0.82451245227288
F07045,0.222150108738862,0,0.777849891261138,0
F07052,0,0.17548754772712,0,0.82451245227288
F07053,0,0.17548754772712,0,0.82451245227288
F07074,0,0.17548754772712,0,0.82451245227288
F07078,0,0.17548754772712,0,0.82451245227288
F07093,0,0.17548754772712,0,0.82451245227288
F07091,0,0.17548754772712,0,0.82451245227288
F07088,0,0.17548754772712,0,0.82451245227288
F07087,0,0.17548754772712,0,0.82451245227288
F07083,0,0.17548754772712,0,0.82451245227288
F07084,0,0.17548754772712,0,0.82451245227288
F07101,0,0.17548754772712,0,0.82451245227288
F07154,0,0.17548754772712,0,0.82451245227288
F07144,0,0.17548754772712,0,0.82451245227288
F07139,0,0.17548754772712,0,0.82451245227288
F07123,0,0.17548754772712,0,0.82451245227288
F07141,0,0.17548754772712,0,0.82451245227288
F07137,0,0.17548754772712,0,0.82451245227288
F07124,0,0.17548754772712,0,0.82451245227288
F07106,0,0.17548754772712,0,0.82451245227288
F07104,0,0.17548754772712,0,0.82451245227288
F07102,0,0.17548754772712,0,0.82451245227288
F07160,0,0.17548754772712,0,0.82451245227288
F07173,0,0.17548754772712,0,0.82451245227288
F07174,0,0.17548754772712,0,0.82451245227288
F07185,0,0.17548754772712,0,0.82451245227288
F07192,0,0.17548754772712,0,0.82451245227288
F07199,0,0.17548754772712,0,0.82451245227288
F07241,0,0.17548754772712,0,0.82451245227288
F07240,0,0.17548754772712,0,0.82451245227288
F07226,0,0.17548754772712,0,0.82451245227288
F07219,0,0.17548754772712,0,0.82451245227288
F07266,0,0.17548754772712,0,0.82451245227288
F07294,0,0.17548754772712,0,0.82451245227288
F07289,0,0.17548754772712,0,0.82451245227288
F07287,0,0.17548754772712,0,0.82451245227288
F07285,0,0.17548754772712,0,0.82451245227288
F07273,0,0.17548754772712,0,0.82451245227288
F07267,0,0.17548754772712,0,0.82451245227288
F07330,0,0.17548754772712,0,0.82451245227288
F07328,0,0.17548754772712,0,0.82451245227288
F07315,0,0.17548754772712,0,0.82451245227288
F07312,0,0.17548754772712,0,0.82451245227288
F07308,0,0.17548754772712,0,0.82451245227288
F07303,0,0.17548754772712,0,0.82451245227288
F07302,0,0.17548754772712,0,0.82451245227288
F07301,0,0.17548754772712,0,0.82451245227288
F07300,0,0.17548754772712,0,0.82451245227288
F07319,0,0.17548754772712,0,0.82451245227288
F07318,0,0.17548754772712,0,0.82451245227288
F07317,0,0.17548754772712,0,0.82451245227288
F07299,0,0.17548754772712,0,0.82451245227288
F07337,0,0.17548754772712,0,0.82451245227288
F07335,0,0.17548754772712,0,0.82451245227288
F07346,0,0.17548754772712,0,0.82451245227288
F07344,0,0.17548754772712,0,0.82451245227288
F07342,0,0.17548754772712,0,0.82451245227288
F07345,0,0.17548754772712,0,0.82451245227288
F07375,0,0.17548754772712,0,0.82451245227288
F07400,0,0.17548754772712,0,0.82451245227288
F07389,0,0.17548754772712,0,0.82451245227288
F07385,0,0.17548754772712,0,0.82451245227288
F07382,0,0.17548754772712,0,0.82451245227288
F07402,0,0.17548754772712,0,0.82451245227288
F07398,0,0.17548754772712,0,0.82451245227288
F07393,0,0.17548754772712,0,0.82451245227288
