"H_Rank","Indeterminate_adj","Altitude","Slope","AMT","AP","MDTR","ISO","TS","PS","MTWQ","PDQ","RAD","WIND","AI","ET0","AMTd","APd","AMTsd","APsd","CSI","BULK","ECE","OC","PH","SAND","Soildiv"
0.467889908,0.637425799,272.2025273,2.850467567,18.30913828,1511.728553,6.81128846,26.97695946,674.7246652,57.42115305,26.34757694,128.732482,14637.56734,3.246649202,1.129745043,1291.877538,-111.1390942,-93.41583063,0.120915178,0.047137854,0.274135958,1.194893945,0.214265514,1.053305582,5.084304923,29.72065986,25
0.933944954,0.697747584,149.6840754,1.124893631,8.466266718,906.0516024,10.19634581,24.50640915,1158.094279,104.0622085,21.9075619,34.49414138,14231.95209,2.58306885,0.813714293,1113.596415,5.62941035,198.4016605,0.253017104,0.063597306,0.468550887,1.382762661,0.167262871,0.978512591,6.502988802,41.00882695,25
0.122018349,0.725333545,1109.857074,0.42201169,4.776238863,225.6146261,12.73529487,25.90181872,1359.418859,109.4971055,20.80045507,5.253334176,16014.72995,3.88456588,0.145472088,1554.469566,48.3421955,81.88401492,0.195341224,0.044048106,0.371997687,1.489477934,0.671449335,0.990602994,7.496175895,53.79059478,24
0.866055046,0.69423676,59.81712981,0.425296924,11.70448505,544.2246835,11.75659448,28.61305951,1117.241906,139.7494564,24.69862653,10.13976793,15160.41529,2.251031216,0.38725801,1404.756659,-40.77448383,217.2870517,0.167009145,0.07622882,0.377363889,1.437068811,0.405109439,0.599847708,7.522494743,49.71861814,67
0.124311927,0.676188487,3718.254577,6.242885054,-4.675366672,250.156,12.77300001,32.87465707,960.4674822,75.66758237,6.323866676,13.108,14542.456,2.705999998,0.2902728,870.368,127.3086333,50.716,0.185714284,0.01385918,0.299879611,1.598400012,0.094800001,1.396039968,5.672399815,55.66,5
0.013302752,0.699936614,1165.83875,0.101601971,12.73309948,36.68414724,15.51211954,32.2995334,1211.990952,66.39114084,26.17061254,2.048567039,16053.32043,1.487439031,0.022501537,1626.786292,-43.71529386,14.80446256,0.136117698,0.036825407,0.334908051,1.609784242,2.291836476,0.488466839,6.12355518,77.96666444,18
0.666055046,0.758194999,4475.553066,4.465177621,-1.344057154,587.359597,13.51662258,39.75622685,742.85675,94.19286608,7.418023339,17.62895042,14798.56033,2.991835796,0.632754458,947.5983618,109.0152499,54.31269933,0.223519669,0.054803147,0.357970117,1.498981587,0.100210207,1.823446632,6.332023683,44.94614381,19
0.955045872,0.707433681,747.7375936,2.45379447,3.104833808,648.0652501,11.85639953,26.91648062,1205.095286,94.72934382,17.15989627,20.98577882,13104.80623,1.913208962,0.73406525,884.5629915,48.02670097,138.6494897,0.200672271,0.037448134,0.282926541,1.400073592,0.105788859,1.131221365,6.337493746,38.61218002,16
0.018807339,0.680753885,5124.182749,1.744675725,-4.852560415,189.0127261,13.77103561,36.34914054,902.5057088,108.6381481,6.186579209,3.830556946,16379.07423,4.055311478,0.167419039,1138.431401,168.708246,-51.65753914,0.230061225,0.079138019,0.39378809,1.513741336,0.312461571,1.524295391,5.541445477,47.37377565,15
0.157798165,0.669468687,1638.618302,5.459657652,18.27963262,1453.125,11.78086624,51.68865472,330.6337581,83.19377794,21.32686403,36.88157895,16995.73904,1.29155702,0.970286842,1498.743421,-88.85194632,-285,0.151428573,0.095031196,0.296229079,1.350526297,0.102631581,1.469671035,5.211842198,40.17763158,8
0.812844037,0.726534957,638.4866607,0.462518417,1.565602965,204.5437727,12.91864506,23.95895349,1554.390648,110.2105614,20.13619838,5.600247853,14450.16127,3.734734876,0.168289696,1215.078693,77.49673512,35.91378242,0.217168083,0.028117167,0.306678378,1.369653879,1.66528281,1.272013839,7.317677402,35.07603789,19
0.405504587,0.720911156,2476.272757,4.404160735,-5.8285117,197.0568319,11.53050181,26.80503397,1200.490592,75.74301035,8.794941561,9.267230955,13814.78053,2.25875655,0.266428174,750.5102781,141.9356963,2.812575574,0.19497836,0.022119591,0.365768045,1.48829504,0.099879083,2.076577974,6.553687929,42.71825877,5
0.476146789,0.649669292,876.4729032,1.756703779,10.81253692,610.5543539,11.16449961,30.48281082,964.7257106,92.92049947,22.26204296,19.61359196,15371.45359,2.436879006,0.449276137,1363.55247,-30.19423116,184.2211136,0.164971121,0.124297875,0.423042437,1.416211252,0.350244212,0.640668425,7.940099041,43.05372593,38
0.051376147,0.73212816,1248.236282,0.064071504,12.67896034,29.8615052,15.49263573,32.08428271,1229.750629,63.88758384,26.23455963,1.998919065,16046.17142,1.35925156,0.018748547,1587.631739,-44.15173821,11.65511417,0.139641645,0.047085259,0.384163527,1.638559003,0.100000001,0.430462107,5.932914282,83.62322659,4
0.847706422,0.717904896,1254.363096,0.530605161,7.540502392,179.324495,13.68206406,29.18349021,1217.773297,101.8449312,22.00320744,5.876307652,16730.97812,3.06477674,0.109127798,1652.8794,12.34739758,65.85531943,0.17697424,0.056005815,0.367500567,1.453422586,0.59959867,0.580987567,7.235318132,58.76886637,25
0.159633028,0.767630486,5223.702037,1.82056862,-6.677377455,53.68592467,14.78543791,36.56798471,930.1726844,117.8478074,4.814310158,0.134664401,15886.99958,3.855772085,0.048779022,1115.411569,186.0306373,-83.06393373,0.220364741,0.050033343,0.377942657,1.480708026,0.45041066,1.344455511,5.340731969,50.52286888,14
0.008256881,0.624803516,1423.169614,0.502476017,7.423791263,84.22517162,14.4551362,31.40906963,1183.197176,90.10777985,21.52124438,3.522000654,16899.33945,3.085483269,0.049409284,1703.937234,-18.36751308,42.96868258,0.175875089,0.01683954,0.295258918,1.45971104,2.143726721,0.503599222,7.115835183,54.001373,18
0.744036697,0.723188343,194.3134248,0.135028983,2.672040771,468.7091631,11.24884315,21.40241796,1562.344581,117.9141559,20.84969146,7.940956608,13761.09474,3.5368116,0.423510968,1108.490627,72.34376886,121.3418793,0.240508862,0.027942803,0.336740554,1.354873572,0.15701688,1.918362458,7.063995892,31.05273609,15
0.51559633,0.622123664,510.365726,3.768679109,15.72966801,1651.180746,7.981002797,27.63686177,750.1901327,51.39398327,24.66973834,160.58852,14289.74663,2.470081166,1.397913499,1188.962036,-85.71675111,-26.53959011,0.145687282,0.059527781,0.301490887,1.330347108,0.116781368,1.878264364,5.164766039,34.77229071,28
0.449541284,0.620859488,1636.382812,2.174288746,15.9905761,1133.002116,9.895144063,46.47191846,446.6610379,84.89908683,20.64826948,46.75707233,14653.82782,2.080116496,0.914062895,1244.731447,-82.457743,295.0193558,0.135932771,0.098406207,0.279896723,1.307970365,0.111503803,1.599681061,5.418627191,34.13956586,27
0.908256881,0.733796695,1225.363553,1.600679825,1.948178577,158.4276941,13.24711495,25.27381259,1465.178899,42.72357695,18.70789587,17.85875406,14814.65151,1.919239251,0.134358175,1205.979982,49.04962528,17.69607322,0.209818792,0.010216033,0.36028,1.445423685,0.824399168,0.876595801,7.306212098,48.8125775,29
0.497247706,0.665427351,349.5521258,0.630747834,17.66298614,1097.490694,6.247534703,23.6326092,718.4048488,74.340921,26.22322295,61.80865536,11660.32851,1.310713921,1.091838426,1004.874281,-124.8739,88.05747814,0.14844278,0.071501908,0.318481264,1.37696388,0.198946116,1.18411019,6.576814468,35.71754242,13
0.439908257,0.661888135,322.7848091,0.651814896,-1.30668869,500.8337878,13.31052852,23.56377635,1630.585545,99.85889536,17.71705992,15.60402685,12454.80062,2.467548413,0.57174871,875.6151426,113.6377325,126.9777685,0.239319018,0.032723994,0.324108267,1.385606108,0.099989515,1.075947987,6.364513373,38.3826552,13
0.835779817,0.734660337,2507.943656,5.129736846,1.564103883,218.9958215,12.84087422,31.62958615,1039.034963,92.97564983,13.65399283,5.196707819,15054.1817,3.391717313,0.210138708,1226.900475,74.72630711,115.5451725,0.193465526,0.0116708,0.300904723,1.467749285,1.05757517,1.048792638,6.788414064,47.11149098,28
0.369724771,0.598094428,286.3304685,1.752960618,20.41500529,1683.608944,8.03909578,33.55408695,579.3424523,60.8785191,26.84117715,123.8377193,14489.83087,1.85936063,1.276098418,1321.106046,-132.9441739,78.47360589,0.124094487,0.043607099,0.259296653,1.35653507,0.136387848,1.133153983,5.52483555,42.5214599,25
0.589908257,0.660565332,2485.05626,9.036094995,12.35694342,1204.140759,9.902088753,44.86171184,459.7199899,64.77797268,17.40883538,73.74395686,15213.57574,1.830943965,1.012955299,1186.794161,-38.27247272,-166.4864262,0.204863788,0.067593169,0.354434214,1.377658961,0.100669395,1.322034206,6.206656773,39.29397546,20
0.934862385,0.652332022,363.9609519,1.835447678,1.502784327,617.1752504,12.0005549,23.1969459,1476.610444,103.7562553,18.70049598,15.80760165,13503.70385,3.617345319,0.642062086,962.5724219,76.14379788,142.5798468,0.239325744,0.036222454,0.321438138,1.386423671,0.102681204,1.086777265,6.392657627,39.39687684,28
0.795412844,0.659846203,886.694119,3.584187061,13.17005649,1057.510644,9.339341589,29.39922692,830.5076031,65.46429768,23.24080143,52.56775412,13501.98869,2.070005315,0.930867805,1140.997021,-50.09950683,287.7902347,0.165013077,0.111157633,0.368657468,1.420593604,0.111639906,1.00396137,6.020823921,47.89929521,22
0.487155963,0.62104022,1422.877056,1.804767848,16.53314414,1199.770845,9.102317385,42.08175221,490.7090671,82.99266771,21.76549624,50.0055586,14265.56059,1.995588345,0.977266288,1229.542003,-88.93095983,212.6768183,0.128688387,0.110924345,0.280126387,1.281157904,0.108126519,2.205806768,5.436013621,30.02059031,19
0.034862385,0.642066291,51.98202833,0.304038615,2.332017597,656.6842105,11.44473693,21.48706777,1538.016524,80.05054233,19.97543867,34.42105263,13158.37719,2.259210529,0.7168,915.5789474,69.38464918,135.4210526,0.120915178,0.020950374,0.274135958,1.396315769,0.194736841,1.273684219,5.710526316,38.57894737,5
0.00412844,0.712718346,1136.749418,0.104877677,12.30934839,34.94199042,15.89091276,32.1216433,1257.950502,72.5268171,26.15502712,1.633382118,16007.97605,1.552332798,0.021186056,1644.686203,-39.3831077,17.8956892,0.137760871,0.038130893,0.321339586,1.670930055,0.814854965,0.440089816,5.863397905,85.64575572,7
0.997247706,0.702234787,406.3598512,0.838202659,0.496795312,613.617749,12.86020337,23.44902415,1540.161639,105.9227355,18.28852456,16.71914722,13233.5681,3.25351716,0.65199632,941.3556159,87.69034743,126.7713196,0.231784678,0.03741378,0.323518541,1.383300771,0.100288885,1.232768673,6.418552104,38.42777906,19
0.862385321,0.709673452,1156.570095,0.988314502,9.435046926,503.1707216,12.19542755,30.65012398,1016.058495,93.00104457,21.41215222,8.889034392,15483.42019,2.248476797,0.366445737,1374.593425,-9.768481918,54.92721759,0.171005294,0.081539013,0.361885936,1.427905412,0.348618102,0.690019978,7.560672643,44.88717348,12
0.104587156,0.727257428,4727.797068,1.416659342,-3.91587116,381.7988563,14.59938111,39.26620024,845.6060674,111.6347624,6.099434119,7.431379557,16368.27654,3.468765189,0.391206719,981.9694782,138.4418129,139.4551823,0.231469388,0.058083461,0.37565972,1.550951403,0.099749823,1.511466732,5.762994828,50.64903503,12
0.387155963,0.630270075,513.8248985,1.164131153,-3.421494513,490.0236618,14.44145081,25.17545322,1656.994543,99.57280923,16.18345587,17.09240754,12027.16693,2.113569653,0.611458092,801.4952906,128.585627,106.534459,0.229048305,0.019257108,0.304253881,1.39196242,0.100000001,1.010330233,6.495549021,39.65851137,10
